,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01010,163.846143384802,0.29237483000309,0.253646424368515,1.15268658224138,0.249039050748353,0.503022804863894
AT1G01020,316.385469715389,0.298827731926138,0.179626954023146,1.66360184389494,0.0961920231804763,0.275997002831914
AT1G03987,2.51941048949451,4.75139226981177,2.42219419617789,1.96160666114601,0.049808296157674,NA
AT1G01030,159.400211583985,0.564781082657854,0.252862207725627,2.23355276273898,0.0255125149794799,0.107558759989825
AT1G01040,540.14033495417,0.0315682870726476,0.13851734285116,0.227901332951271,0.819722946445189,0.92527657249021
AT1G01050,2162.32146938001,-0.0889382973948636,0.0848443277300541,-1.04825272088707,0.294522186236935,0.553013088767709
AT1G01060,172.680968910537,-1.05116950925667,0.243791902775498,-4.31174906668112,1.61968189353817e-05,0.000213855539631782
AT1G01070,153.263189559795,0.137646801576742,0.256530380836186,0.536571150473751,0.591563876400259,0.797526135501256
AT1G01080,2452.54311200493,0.108550352133759,0.0699591655424274,1.55162445538216,0.120752108093272,0.321313998383713
AT1G01090,7737.46168017869,-0.145381515994652,0.0419414737529593,-3.46629488632106,0.000527684185642831,0.00464487035905097
AT1G01100,8213.17720974827,0.073410547130102,0.0463738627075194,1.58301557912274,0.113417913551792,0.308871269224591
AT1G01110,133.249162910584,0.200365530323706,0.280254586695727,0.714941127943941,0.474645421990714,0.716272046375697
AT1G01120,3930.1237192026,0.0947474770152328,0.0615140704429313,1.54025699052273,0.123497723074691,0.325943608278778
AT1G01130,64.0589326953304,-0.49179150471291,0.402267369113131,-1.2225488380953,0.22150014702477,0.468959237895816
AT1G01140,1029.90083071241,0.201173643407317,0.100995441040348,1.99190816273526,0.0463811351934056,0.167516319747483
AT1G01150,1.49628488489991,-4.06576701556931,3.19429571572055,-1.27282110906635,0.203081528804115,NA
AT1G01160,505.87727743424,0.425934911577944,0.144920001665695,2.93910368949968,0.00329162932479018,0.0214449595039414
AT1G04007,5.61832256991703,0.812686563016103,1.36460400582954,0.595547543129239,0.551477529134575,NA
AT1G01170,645.266778266853,0.37498227674707,0.128512183052093,2.9178733707688,0.00352427438661522,0.0226853892418489
AT1G04013,5.4829836891241,-1.28910839634271,1.42894034392696,-0.902142907379909,0.366980958456625,NA
AT1G01180,320.955796627079,-0.127999514261978,0.182293050048336,-0.702163435347854,0.482577245631546,0.722605575227625
AT1G08765,20.4006580315463,0.152218026595705,0.715127981012136,0.212854245166393,0.831440651569357,NA
AT1G01190,34.0438182378503,-0.417454798702509,0.569242847453824,-0.733350977653473,0.463344390435266,0.707818514788989
AT1G01200,89.1940185944194,-0.302429309993306,0.341849822829355,-0.884684705963042,0.376326706665677,0.63465322280994
AT1G01210,299.186235634663,0.143189467484605,0.196859883717793,0.727367428957104,0.467000901705017,0.709958901294376
AT1G01220,671.202695840703,-0.0810485725295463,0.138777235723845,-0.584019216889623,0.559207383145415,0.776264180696652
AT1G01225,107.723207424332,-0.0171782544827953,0.322974275252775,-0.0531876864476305,0.957582366520103,0.983113827535245
AT1G01230,709.553298107324,-0.117663511088456,0.144865144852513,-0.812227891037897,0.416660878273611,0.669330572345126
AT1G01240,283.913090608637,0.450581245441693,0.189639460269224,2.37598886224428,0.017501991093152,0.0807569029524304
AT1G01250,58.899499945095,-0.639960101239783,0.496213553564978,-1.28968686292843,0.197159402658247,0.436751232338289
AT1G01260,382.16228370773,0.233169740961447,0.167573982145799,1.39144357599963,0.164090958413076,0.38904430591497
AT1G01290,283.595373279996,0.108469289609479,0.189572496080022,0.572178411174645,0.567201111798067,0.781301617398515
AT1G01300,3403.53459147863,-0.54294914367189,0.0584032874564283,-9.29655105591371,1.45075291863351e-20,9.87431475957242e-19
AT1G01310,0.83319450499074,3.16639943056257,3.9819350794292,0.795191123762988,0.426502334285902,NA
AT1G01320,9482.77458299827,-0.41501049620027,0.0390519579985755,-10.6271367037578,2.22849481672819e-26,2.19779616364061e-24
AT1G01340,57.0698478514115,-0.327568442638069,0.426717891950238,-0.767646374378576,0.442697303300156,0.691111199547086
AT1G01350,482.186811344783,0.0489454562062853,0.145133679229597,0.337243956510295,0.735933003620626,0.885355855671496
AT1G01355,0.568680986342017,2.57695248970761,4.68391356040643,0.550170804066676,0.582202226669712,NA
AT1G01360,180.271095649364,0.290092065574396,0.256196600248669,1.13230255707073,0.25750725544492,0.512811453230163
AT1G01370,184.07352679118,-0.00406468192997487,0.238830346035691,-0.0170191183718648,0.986421363725326,0.99465089781796
AT1G01380,52.1095704302899,-0.0677384840310208,0.446725810582642,-0.151633244433925,0.87947621131668,0.953512001499304
AT1G01390,192.008170765994,-0.163179380130817,0.24042180324583,-0.678721222151247,0.497314516830008,0.73336591662253
AT1G01420,355.138095875166,-0.735014743472771,0.174231892339162,-4.21860047322441,2.45823423907984e-05,0.000309158541583691
AT1G01430,4054.36058659691,0.229608444615838,0.0558773898946298,4.10914763643791,3.97122146284577e-05,0.000475906453049031
AT1G01440,432.437240644491,-0.0316793100214447,0.153658924355156,-0.206166417957107,0.836660918911402,0.933258515136594
AT1G01448,136.233385431394,0.582421375816056,0.27530517812118,2.11554820650592,0.0343832508493905,0.134808417398704
AT1G01453,19.9298895907339,-0.831533028603156,0.707922570381431,-1.17461013872622,0.240150725179304,NA
AT1G01470,3622.06802499242,-0.190859801982887,0.0577048117593835,-3.30751970526705,0.000941260894860915,0.00759056032443115
AT1G01480,100.459955180742,-0.699419799582222,0.327154214526554,-2.13789023196414,0.0325256532267627,0.129074292111132
AT1G01490,1535.6842052633,0.404849896779882,0.094582943023731,4.28036899505552,1.86583694346308e-05,0.000242546254990863
AT1G01500,565.608615245656,-0.307971922151175,0.135899221283757,-2.26617871126819,0.0234404435329735,0.100936461014118
AT1G01510,1067.13016914985,-0.0955899409416475,0.10235349552682,-0.933919652178369,0.350345340725798,0.608899068173861
